assigned_gid,video,frame,local_track_id,compared_to_gid,cosine_sim,hist_sim,iou
0,Video_1.mp4,62,1,0,0.947437,0.9879350965381644,0
0,Video_1.mp4,62,1,1,0.54955065,0.4457435697221025,0
0,Video_1.mp4,62,1,2,0.53624415,0.3691658775749327,0
1,Video_1.mp4,62,2,1,0.84119654,0.987332698755963,0
1,Video_1.mp4,62,2,2,0.7668822,0.7489372248090218,0
2,Video_1.mp4,62,3,2,0.9576791,0.9803676093581924,0
0,Video_1.mp4,63,1,0,0.9425083,0.9824481829241768,0
0,Video_1.mp4,63,1,1,0.5596684,0.44058114017904804,0
0,Video_1.mp4,63,1,2,0.546363,0.357828118507108,0
1,Video_1.mp4,63,2,1,0.84044325,0.9671562602147463,0
1,Video_1.mp4,63,2,2,0.7528333,0.6900597357450411,0
2,Video_1.mp4,63,3,2,0.9595832,0.9628496957976405,0
0,Video_1.mp4,64,1,0,0.94105107,0.9776291100808245,0
0,Video_1.mp4,64,1,1,0.57029355,0.4450302216793308,0
0,Video_1.mp4,64,1,2,0.5464896,0.35775316074534413,0
1,Video_1.mp4,64,2,1,0.8180629,0.959314764583848,0
1,Video_1.mp4,64,2,2,0.73841554,0.7092940668544873,0
2,Video_1.mp4,64,3,2,0.9613641,0.9726211582412052,0
0,Video_1.mp4,65,1,0,0.938597,0.9871001032200204,0
0,Video_1.mp4,65,1,1,0.5849447,0.4221614675190274,0
0,Video_1.mp4,65,1,2,0.555068,0.3419374333836242,0
1,Video_1.mp4,65,2,1,0.81155926,0.9746275331103731,0
1,Video_1.mp4,65,2,2,0.7018919,0.6833402463690949,0
2,Video_1.mp4,65,3,2,0.963032,0.9819365904804932,0
0,Video_1.mp4,66,1,0,0.92912996,0.9874321957274708,0
0,Video_1.mp4,66,1,1,0.57736444,0.4372372198194911,0
0,Video_1.mp4,66,1,2,0.5482175,0.3556655430237199,0
1,Video_1.mp4,66,2,1,0.7957336,0.9819416236674134,0
1,Video_1.mp4,66,2,2,0.6761129,0.6655433632613807,0
2,Video_1.mp4,66,3,2,0.9645959,0.9854260398293683,0
0,Video_1.mp4,67,1,0,0.93238527,0.9743837006566942,0
0,Video_1.mp4,67,1,1,0.5770247,0.45359191556909034,0
0,Video_1.mp4,67,1,2,0.55032694,0.3657145945444364,0
1,Video_1.mp4,67,2,1,0.78278804,0.9794293494891321,0
1,Video_1.mp4,67,2,2,0.6683901,0.6365571919608439,0
2,Video_1.mp4,67,3,2,0.96606445,0.9799794353032651,0
0,Video_1.mp4,68,1,0,0.9300847,0.9904327200583457,0
0,Video_1.mp4,68,1,1,0.58228034,0.4488588720638496,0
0,Video_1.mp4,68,1,2,0.55594546,0.3587806498147659,0
1,Video_1.mp4,68,2,1,0.7790279,0.9766330033009013,0
1,Video_1.mp4,68,2,2,0.65827125,0.6437060232513089,0
2,Video_1.mp4,68,3,2,0.9674447,0.988763634647976,0
0,Video_1.mp4,69,1,0,0.92800486,0.9949214047269016,0
0,Video_1.mp4,69,1,1,0.5747086,0.44781954815382363,0
0,Video_1.mp4,69,1,2,0.54665107,0.3611127231734687,0
1,Video_1.mp4,69,2,1,0.77170146,0.9856523445512364,0
1,Video_1.mp4,69,2,2,0.653033,0.6295714148472791,0
2,Video_1.mp4,69,3,2,0.96874386,0.9862615635166009,0
0,Video_1.mp4,70,1,0,0.9361322,0.992682504948706,0
0,Video_1.mp4,70,1,1,0.5763259,0.4508715080999553,0
0,Video_1.mp4,70,1,2,0.5409328,0.36438262509638797,0
1,Video_1.mp4,70,2,1,0.79514015,0.9235532985938774,0
